1, 100
2, 100
3, 59
4, 92
5, 99
6, 54
7, 60
8, 69
9, 82
10, 35
11, 99
12, 78
13, 98
14, 71
15, 40
16, 74
17, 53
18, 93
19, 82
20, 52
21, 51
22, 98
23, 49
24, 37
25, 98
26, 69
27, 70
28, 12
29, 34
30, 78
31, 38
32, 60
33, 39
34, 46
35, 19
36, 65
37, 83
38, 33
39, 44
40, 17
41, 74
42, 63
43, 75
44, 93
45, 53
46, 94
47, 53
48, 49
49, 61
50, 63
51, 89
52, 87
53, 80
54, 84
55, 78
56, 75
57, 78
58, 58
59, 65
60, 73
61, 100
62, 77
63, 57
64, 36
65, 36
66, 27
67, 16
68, 35
69, 79
70, 33
71, 79
72, 98
73, 81
74, 75
75, 94
76, 82
77, 52
78, 61
79, 48
80, 53
81, 86
82, 83
83, 64
84, 72
85, 52
86, 62
87, 78
88, 54
89, 81
90, 68
91, 53
92, 86
93, 60
94, 48
95, 80
96, 41
97, 45
98, 43
99, 33
100, 30
