1, 100
2, 76
3, 34
4, 93
5, 45
6, 34
7, 22
8, 59
9, 18
10, 100
11, 32
12, 49
13, 22
14, 29
15, 46
16, 43
17, 20
18, 52
19, 19
20, 14
21, 25
22, 21
23, 22
24, 21
25, 30
26, 10
27, 8
28, 27
29, 27
30, 32
31, 15
32, 7
33, 1
34, 4
35, 10
36, 7
37, 2
38, 1
39, 10
40, 9
41, 39
42, 26
43, 19
44, 21
45, 22
46, 7
47, 24
48, 25
49, 27
50, 57
51, 69
52, 55
53, 10
54, 7
55, 6
56, 5
57, 13
58, 5
59, 80
60, 11
61, 32
62, 57
63, 69
64, 48
65, 17
66, 44
67, 23
68, 54
69, 21
70, 30
71, 42
72, 22
73, 18
74, 12
75, 19
76, 31
77, 31
78, 21
79, 19
80, 14
81, 29
82, 38
83, 76
84, 12
85, 25
86, 4
87, 34
88, 20
89, 11
90, 20
91, 5
92, 14
93, 20
94, 11
95, 13
96, 4
97, 7
98, 3
99, 8
100, 5
