0.383306,0.480859,0.332834,0.457449,0.330112,3837060095
0.381773,0.374637,0.399282,0.454927,0.329191,3837061887
0.358072,0.349289,0.460055,0.393200,0.379890,649390847
0.337159,0.436337,0.452274,0.351562,0.389709,583859455
0.358764,0.427746,0.389026,0.407405,0.340562,3837066495
0.335063,0.402398,0.449798,0.345678,0.391261,649395455
0.286266,0.492322,0.573691,0.385711,0.352131,590674175
0.447971,0.314228,0.495648,0.345437,0.397668,654954751
0.463559,0.312356,0.494390,0.362506,0.357769,3876180223
0.414206,0.365482,0.490970,0.407620,0.318939,3834237183
0.390871,0.351302,0.513503,0.378937,0.340267,747229439
0.371366,0.309813,0.527359,0.357928,0.384456,579457279
0.466604,0.312803,0.488500,0.391122,0.363979,713675007
0.382115,0.344041,0.491988,0.370620,0.381413,646566143
0.348762,0.375302,0.583209,0.361873,0.340108,562680063
0.363978,0.345683,0.558260,0.327880,0.368580,596234495
0.407187,0.317499,0.511875,0.355408,0.409891,730452223
0.364333,0.338851,0.540947,0.345395,0.414042,583651583
0.325750,0.434457,0.480719,0.410936,0.335283,703549695
0.370594,0.401713,0.375822,0.504919,0.332767,700928255
0.335120,0.422800,0.505373,0.385199,0.329425,590696703
0.447993,0.340563,0.464250,0.421087,0.324202,3879031039
0.358805,0.328213,0.491324,0.434260,0.356744,2238009599
0.339550,0.351180,0.589631,0.439431,0.335291,579948799
0.441719,0.383146,0.472306,0.428532,0.285527,737562879
0.378237,0.380083,0.604249,0.437266,0.286704,562712831
0.338417,0.464836,0.510818,0.327449,0.346789,590669695
0.347188,0.390804,0.460521,0.350830,0.370302,649389951
0.337236,0.484227,0.598634,0.403946,0.275641,562718591
0.368458,0.487520,0.462842,0.325106,0.363275,583853695
0.328314,0.530356,0.482823,0.298047,0.364150,590669439
0.367731,0.499193,0.441638,0.357103,0.340965,548726399
0.341276,0.504427,0.358088,0.383488,0.368088,3837060735
0.337084,0.456323,0.432526,0.321428,0.387663,649389695
0.317049,0.538033,0.612079,0.367094,0.317253,593490559
0.361380,0.407835,0.464906,0.340530,0.372941,579457663
0.338777,0.473323,0.520757,0.344475,0.328593,562680447
0.353993,0.443705,0.495807,0.310482,0.357065,596234879
0.371009,0.526673,0.518199,0.351623,0.309757,590697087
0.332191,0.448652,0.517722,0.353953,0.349666,590675071
0.340962,0.374619,0.467425,0.377334,0.373179,649395327
0.364999,0.462772,0.555920,0.307305,0.356525,603378815
0.275958,0.427813,0.469732,0.450844,0.386076,90625151
0.280026,0.441047,0.461942,0.391834,0.373759,702993535
0.397585,0.455845,0.511750,0.297326,0.395431,596137087
0.404464,0.435408,0.513962,0.301028,0.351651,603395199
0.374336,0.383706,0.495063,0.378083,0.332583,637736063
0.387201,0.338296,0.519006,0.384479,0.369077,572068991
0.386339,0.389499,0.318961,0.385757,0.429831,700364927
