0.296330,0.288370,1053359187
0.213303,0.465014,2054238855
0.223910,0.385960,2686013631
0.223026,0.402173,2685620415
0.214499,0.418340,2685481151
0.211016,0.473646,4201722047
0.230269,0.356615,2686005439
0.318749,0.264300,1937322117
0.282038,0.289657,1937322629
0.199691,0.480246,2475292141
0.311418,0.283341,3403676450
0.409013,0.237273,1937582986
0.581826,0.211178,2152570938
0.254397,0.324325,3454442278
0.262137,0.323372,3435256614
0.251051,0.346085,3435518758
0.267047,0.298531,3403676454
0.349509,0.256255,2149127246
0.388135,0.246264,822433720
0.373324,0.249230,1138074036
0.445611,0.211270,1138074548
0.425953,0.230820,1138073716
