1, 100
2, 76
3, 34
4, 93
5, 100
6, 60
7, 21
8, 42
9, 38
10, 55
11, 23
12, 17
13, 26
14, 32
15, 33
16, 29
17, 49
18, 77
19, 36
20, 45
21, 64
22, 40
23, 74
24, 15
25, 80
26, 10
27, 46
28, 8
29, 18
30, 64
31, 22
32, 6
33, 55
34, 69
35, 35
36, 55
37, 56
38, 56
39, 11
40, 52
41, 43
42, 38
43, 74
44, 23
45, 51
46, 21
47, 55
48, 27
49, 9
50, 12
51, 14
52, 7
53, 79
54, 49
55, 31
56, 10
57, 4
58, 13
59, 8
60, 2
61, 21
62, 32
63, 16
64, 50
65, 60
66, 25
67, 9
68, 29
69, 99
70, 72
71, 48
72, 21
73, 75
74, 42
75, 54
76, 63
77, 43
78, 18
79, 20
80, 39
81, 83
82, 51
83, 45
84, 39
85, 55
86, 22
87, 73
88, 40
89, 28
90, 24
91, 19
92, 16
93, 36
94, 44
95, 33
96, 31
97, 26
98, 8
99, 19
100, 27
