1, 100
2, 76
3, 34
4, 93
5, 45
6, 34
7, 22
8, 59
9, 18
10, 100
11, 32
12, 49
13, 22
14, 29
15, 46
16, 43
17, 20
18, 52
19, 19
20, 14
21, 15
22, 27
23, 26
24, 16
25, 24
26, 34
27, 19
28, 10
29, 20
30, 13
31, 17
32, 9
33, 17
34, 9
35, 19
36, 33
37, 9
38, 4
39, 3
40, 7
41, 5
42, 12
43, 8
44, 13
45, 5
46, 3
47, 10
48, 2
49, 3
50, 15
51, 11
52, 7
53, 8
54, 4
55, 1
56, 10
57, 30
58, 7
59, 2
60, 13
61, 10
62, 6
63, 17
64, 12
65, 9
66, 5
67, 45
68, 7
69, 5
70, 0
71, 26
72, 13
73, 5
74, 13
75, 2
76, 2
77, 7
78, 17
79, 51
80, 2
81, 10
82, 3
83, 15
84, 8
85, 3
86, 2
87, 13
88, 4
89, 13
90, 0
91, 3
92, 14
93, 0
94, 2
95, 1
96, 0
97, 1
98, 4
99, 9
100, 26
